Date,Close,High,Low,Open,Volume,headline,Polarity,Subjectivity,Sentiment,VADER_Score,VADER_Sentiment,MACD,MACD_signal,MACD_hist,RSI_14,SMA_13,SMA_49,EMA_13,EMA_49
2019-01-02,1668.1099853515625,1694.0999755859375,1666.0699462890625,1693.510009765625,47769800,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-03,1675.8299560546875,1680.780029296875,1666.219970703125,1675.1600341796875,69484500,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-04,1669.780029296875,1676.550048828125,1668.1500244140625,1672.5799560546875,64869000,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-07,1679.1700439453125,1687.1300048828125,1673.030029296875,1674.9200439453125,144668500,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-08,1672.760009765625,1686.3699951171875,1670.6700439453125,1685.719970703125,176071900,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-09,1667.8299560546875,1684.0799560546875,1667.8299560546875,1679.06005859375,176278400,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-10,1678.8800048828125,1681.22998046875,1669.280029296875,1677.3800048828125,156200700,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-11,1683.219970703125,1684.989990234375,1676.75,1684.989990234375,139377800,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-14,1676.1600341796875,1684.18994140625,1672.27001953125,1683.050048828125,87794700,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-15,1679.4200439453125,1679.4200439453125,1672.550048828125,1674.8299560546875,136098300,Calculate your credit card repayment - Hong Leong Bank,0.0,0.0,Neutral,0.3818,Positive,,,,,,,,
2019-01-16,1673.0799560546875,1676.3399658203125,1668.4300537109375,1675.780029296875,111608800,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-17,1682.969970703125,1684.239990234375,1674.3599853515625,1680.2099609375,140150900,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,
2019-01-18,1692.219970703125,1692.219970703125,1681.8900146484375,1682.0799560546875,133706000,,0.0,0.0,Neutral,0.0,Neutral,,,,,1676.8792255108174,,1677.9705093448497,
2019-01-22,1702.1199951171875,1702.1199951171875,1688.18994140625,1698.8800048828125,128811400,,0.0,0.0,Neutral,0.0,Neutral,,,,71.35903879624021,1679.495380108173,,1681.4204358837553,
2019-01-23,1688.1400146484375,1691.22998046875,1680.8399658203125,1690.760009765625,127894400,,0.0,0.0,Neutral,0.0,Neutral,,,,57.95432963573489,1680.4423076923076,,1682.3803757072815,
2019-01-24,1693.5899658203125,1694.5899658203125,1686.8699951171875,1689.300048828125,153312500,,0.0,0.0,Neutral,0.0,Neutral,,,,61.0278329749432,1682.2738412710337,,1683.981745723429,
2019-01-25,1701.030029296875,1701.030029296875,1695.3800048828125,1699.5899658203125,130046000,,0.0,0.0,Neutral,0.0,Neutral,,,,64.80968298331007,1683.9553786057693,,1686.4172148053499,
2019-01-28,1697.5,1705.5,1693.6300048828125,1705.4100341796875,114151100,,0.0,0.0,Neutral,0.0,Neutral,,,,61.748008244605536,1685.8584547776443,,1688.0004698331572,
2019-01-29,1690.4100341796875,1694.7099609375,1688.47998046875,1694.7099609375,145706700,,0.0,0.0,Neutral,0.0,Neutral,,,,56.02347941675793,1687.5953838641826,,1688.3446933112332,
