Date,Close,High,Low,Open,Volume,headline,TextBlob_Polarity,TextBlob_Subjectivity,TextBlob_Sentiment,VADER_Score,VADER_Sentiment,Close_Change,VADER_Sentiment_Num,Close_lag_1,VADER_Score_lag_1,Close_lag_2,VADER_Score_lag_2,Close_lag_3,VADER_Score_lag_3,SMA_5,EMA_5,RSI_14,MACD,MACD_signal,MACD_hist
2019-01-03,1675.8299560546875,1680.780029296875,1666.219970703125,1675.1600341796875,69484500.0,,0.0,0.0,Neutral,0.0,Neutral,,,,,,,,,,,,,,
2019-01-04,1669.780029296875,1676.550048828125,1668.1500244140625,1672.5799560546875,64869000.0,,0.0,0.0,Neutral,0.0,Neutral,-0.003610107777316185,,1675.8299560546875,0.0,,,,,,,,,,
2019-01-07,1679.1700439453125,1687.1300048828125,1673.030029296875,1674.9200439453125,144668500.0,,0.0,0.0,Neutral,0.0,Neutral,0.005623503984768297,,1669.780029296875,0.0,1675.8299560546875,0.0,,,,,,,,
2019-01-08,1672.760009765625,1686.3699951171875,1670.6700439453125,1685.719970703125,176071900.0,,0.0,0.0,Neutral,0.0,Neutral,-0.003817382404361358,,1679.1700439453125,0.0,1669.780029296875,0.0,1675.8299560546875,0.0,,,,,,
2019-01-09,1667.8299560546875,1684.0799560546875,1667.8299560546875,1679.06005859375,176278400.0,,0.0,0.0,Neutral,0.0,Neutral,-0.002947257037564044,,1672.760009765625,0.0,1679.1700439453125,0.0,1669.780029296875,0.0,1673.0739990234374,1673.0739990234374,,,,
2019-01-10,1678.8800048828125,1681.22998046875,1669.280029296875,1677.3800048828125,156200700.0,,0.0,0.0,Neutral,0.0,Neutral,0.006625404938920942,,1667.8299560546875,0.0,1672.760009765625,0.0,1679.1700439453125,0.0,1673.6840087890625,1675.0093343098958,,,,
2019-01-11,1683.219970703125,1684.989990234375,1676.75,1684.989990234375,139377800.0,,0.0,0.0,Neutral,0.0,Neutral,0.0025850363383268515,,1678.8800048828125,0.0,1667.8299560546875,0.0,1672.760009765625,0.0,1676.3719970703125,1677.7462131076388,,,,
2019-01-14,1676.1600341796875,1684.18994140625,1672.27001953125,1683.050048828125,87794700.0,,0.0,0.0,Neutral,0.0,Neutral,-0.004194304158884443,,1683.219970703125,0.0,1678.8800048828125,0.0,1667.8299560546875,0.0,1675.7699951171876,1677.2174867983217,,,,
2019-01-15,1679.4200439453125,1679.4200439453125,1672.550048828125,1674.8299560546875,136098300.0,,0.0,0.0,Neutral,0.0,Neutral,0.0019449275123781806,,1676.1600341796875,0.0,1683.219970703125,0.0,1678.8800048828125,0.0,1677.102001953125,1677.9516725139854,,,,
2019-01-16,1673.0799560546875,1676.3399658203125,1668.4300537109375,1675.780029296875,111608800.0,,0.0,0.0,Neutral,0.0,Neutral,-0.0037751650717058327,,1679.4200439453125,0.0,1676.1600341796875,0.0,1683.219970703125,0.0,1678.152001953125,1676.3277670275527,,,,
2019-01-17,1682.969970703125,1684.239990234375,1674.3599853515625,1680.2099609375,140150900.0,,0.0,0.0,Neutral,0.0,Neutral,0.005911262407183093,,1673.0799560546875,0.0,1679.4200439453125,0.0,1676.1600341796875,0.0,1678.9699951171874,1678.5418349194101,,,,
2019-01-18,1692.219970703125,1692.219970703125,1681.8900146484375,1682.0799560546875,133706000.0,,0.0,0.0,Neutral,0.0,Neutral,0.005496235916874648,,1682.969970703125,0.0,1673.0799560546875,0.0,1679.4200439453125,0.0,1680.7699951171876,1683.1012135139817,,,,
2019-01-22,1702.1199951171875,1702.1199951171875,1688.18994140625,1698.8800048828125,128811400.0,,0.0,0.0,Neutral,0.0,Neutral,0.005850317680596184,,1692.219970703125,0.0,1682.969970703125,0.0,1673.0799560546875,0.0,1685.9619873046875,1689.440807381717,,,,
2019-01-23,1688.1400146484375,1691.22998046875,1680.8399658203125,1690.760009765625,127894400.0,MFRS Hot Topics - Grant Thornton Malaysia,0.25,0.8500000000000001,Positive,0.3612,Positive,-0.008213275508691442,,1702.1199951171875,0.0,1692.219970703125,0.0,1682.969970703125,0.0,1687.7059814453125,1689.007209803957,,,,
2019-01-24,1693.5899658203125,1694.5899658203125,1686.8699951171875,1689.300048828125,153312500.0,,0.0,0.0,Neutral,0.0,Neutral,0.0032283762748257505,,1688.1400146484375,0.3612,1702.1199951171875,0.0,1692.219970703125,0.0,1691.8079833984375,1690.5347951427423,58.27586285355437,,,
2019-01-25,1701.030029296875,1701.030029296875,1695.3800048828125,1699.5899658203125,130046000.0,,0.0,0.0,Neutral,0.0,Neutral,0.004393072483137139,,1693.5899658203125,0.0,1688.1400146484375,0.3612,1702.1199951171875,0.0,1695.4199951171875,1694.033206527453,61.17502552052424,,,
2019-01-28,1697.5,1705.5,1693.6300048828125,1705.4100341796875,114151100.0,MDV: A year in review - Malaysia Debt Ventures Berhad,0.0,0.0,Neutral,-0.3612,Negative,-0.0020752304404256794,,1701.030029296875,0.0,1693.5899658203125,0.0,1688.1400146484375,0.3612,1696.4760009765625,1695.1888043516353,59.07756330599722,,,
